TimeStamp,Roll,Pitch,Yaw
22:22.9,17.97351789,0.85291529,-94.59535426
22:23.2,19.0644263,0.889548956,-94.65910359
22:23.4,20.94026101,0.510983591,-93.98494834
22:23.6,22.54708265,0.5726397,-93.58413435
22:23.7,21.94391307,0.972671755,-93.62799454
22:23.8,21.83404379,1.257852747,-93.83627358
22:24.1,21.4870041,1.113482941,-94.03117831
22:24.4,19.76525961,1.163352769,-94.39299619
22:24.5,17.59694355,1.247419586,-94.62954459
22:24.6,15.61831005,1.410798819,-94.76730556
22:25.2,13.52349561,1.494436711,-94.76191364
22:25.3,11.75732119,1.729022531,-94.70009883
22:25.6,10.02259829,1.723740989,-94.54689586
22:25.7,8.145290562,1.564053406,-94.48760733
22:25.8,7.391060527,1.186172946,-94.46235932
22:26.0,6.379782023,0.862688453,-94.72044402
22:26.3,6.117994392,0.911643253,-95.06021222
22:26.5,5.779390369,0.791068323,-95.16899425
22:26.8,5.966588303,1.008870013,-95.2078738
22:27.0,5.68196487,0.879915602,-95.33637658
22:27.0,5.66930786,0.902430803,-95.32623648
22:27.3,5.656387177,0.899075368,-95.29113501
22:27.5,5.475080019,0.71276716,-95.17457865
22:27.6,5.489920474,0.77417051,-95.24684913
22:27.7,5.52847609,0.828376656,-95.31857157
22:27.8,5.610047688,0.917121735,-95.38725816
22:28.1,5.383553722,0.864980804,-95.15215098
22:28.4,5.777709796,1.246650052,-94.82159292
22:28.4,6.566090958,2.002438433,-94.36161482
22:28.6,4.662666465,3.126181853,-93.94789622
22:29.0,5.054498881,4.92910133,-93.54196671
22:29.2,6.016314142,6.714297727,-93.04497904
22:29.4,4.166010919,8.080422447,-93.1480141
22:29.8,4.954493544,8.934646239,-93.43141913
22:29.9,4.783510906,9.655366554,-93.71701869
22:30.1,4.237259684,10.71342845,-93.95550115
22:30.4,4.119194734,11.30386811,-94.09626198
22:30.9,5.343464608,10.52729026,-93.73098195
22:31.1,5.232774906,8.883073517,-93.64743996
22:31.7,4.717623052,6.798999839,-93.64647842
22:31.8,5.117241316,5.043239882,-93.68022114
22:31.9,5.772891798,3.642938895,-93.52026642
22:32.2,4.267508997,2.143093609,-93.38031205
22:32.4,6.243787712,2.116437083,-92.50720534
22:32.9,6.23948997,2.434107506,-93.93904626
22:33.2,5.724948498,3.481927838,-97.4272764
22:33.4,6.05812643,4.251472147,-101.0542996
22:33.6,6.840102297,4.9751641,-104.3986351
22:33.8,7.866159517,5.853647288,-108.390082
22:34.0,8.503971936,6.808284681,-113.5045231
22:34.2,8.508453031,7.57911843,-118.6337631
22:34.4,8.195479597,8.499905248,-123.27783
22:34.5,8.87389209,9.48151938,-127.7655298
22:34.7,9.896535901,10.29250291,-132.7824713
22:35.1,9.256555216,11.35863226,-137.6713661
22:35.2,8.961901458,12.43948009,-142.3186353
22:35.4,9.190659065,13.41969753,-147.0926776
22:35.6,9.095274566,13.95192176,-151.9162567
22:35.9,8.729825999,14.24218794,-156.1087293
22:36.1,7.950550186,14.64025442,-159.9380107
22:36.6,7.39932608,14.5602884,-164.6082233
22:36.8,7.162973416,14.68888097,-167.7613613
22:36.9,7.299217213,14.69108279,-170.4640362
22:37.0,8.039831059,14.76202099,-172.5997116
22:37.2,7.616489048,15.02260443,-174.0826104
22:37.6,6.056881745,14.47120304,-175.9198649
22:37.7,5.379799262,13.9353857,-177.461821
22:37.9,5.874736779,13.81895308,-178.3337295
22:38.0,5.785676716,13.87132974,-179.1305351
22:38.2,6.329586656,13.95057008,-179.2141885
22:38.5,6.738289281,13.72661722,-178.8654267
22:38.9,6.756156197,13.83498177,-178.6750037
22:38.9,6.518325496,13.88306461,-178.5430137
22:39.1,6.644952848,14.06872571,-178.3575615
22:39.3,6.979058972,14.07672592,-178.0157867
22:39.6,7.254615073,13.82683519,-177.6875213
22:39.7,6.870649177,13.42824306,-177.8673238
22:39.9,6.533691688,13.20704085,-179.1404018
22:40.1,6.615562066,13.3414929,-179.6988852
22:40.2,7.111329144,13.43015617,-179.4898624
22:40.4,6.360174062,13.45992081,-179.0913317
22:40.6,6.164433285,13.51905231,-178.8885417
22:40.8,6.341642413,13.48403139,-177.9927807
22:41.0,6.667881921,13.42172056,-176.6436721
22:41.2,7.059243131,13.34611906,-175.1755811
22:41.7,7.096956255,13.33285534,-174.9181053
22:42.1,7.098449329,13.33135347,-174.9183
22:42.2,7.10381167,13.33027923,-174.9215934
22:42.4,7.117165094,13.32908847,-174.9233121
22:42.6,7.114533451,13.32813749,-174.9281791
22:42.8,7.121781423,13.32689458,-174.929912
22:42.9,7.144659367,13.32184003,-174.9368652
22:43.0,7.077544184,13.32414243,-174.9366179
22:43.2,6.505330431,13.04301352,-174.9536092
22:43.3,5.572510924,13.08138602,-174.9270733
22:43.5,5.768611203,12.95400674,-175.1932869
22:43.7,7.057345231,13.03129099,-175.0463405
22:43.9,7.050078974,12.9943543,-174.9975406
22:44.2,7.068152472,12.99918968,-174.9984821
22:44.5,7.061981842,12.99611755,-174.9988799
22:44.7,6.95877279,12.66076772,-174.9044976
22:44.9,6.348328218,12.39626097,-174.9392363
22:45.0,6.959476042,12.43775606,-175.0855329
22:45.1,7.397930941,12.51596573,-175.2102141
22:45.2,7.704172464,12.56791731,-175.3245884
