TimeStamp,Roll,Pitch,Yaw
11:42.0,-3.860513234,-2.882700196,-178.8053492
11:42.1,-3.85820313,-2.884582024,-178.819653
11:42.4,-3.859796773,-2.885723125,-178.8144492
11:42.5,-3.859091818,-2.886604811,-178.8251383
11:42.6,-3.855679348,-2.884139972,-178.8234006
11:42.7,-3.859637044,-2.887250872,-178.7513084
11:42.8,-3.860792005,-2.888970293,-178.7485572
11:42.9,-3.858047716,-2.887002091,-178.7418567
11:43.1,-3.853908398,-2.884822038,-178.7472819
11:43.3,-3.852867399,-2.88723467,-178.6629811
11:43.4,-3.855982317,-2.890826205,-178.6369565
11:43.6,-3.851861194,-2.8910454,-178.6577669
11:43.7,-3.848984321,-2.888449579,-178.61893
11:43.8,-3.844413209,-2.888804987,-178.633907
11:44.0,-3.847672914,-2.89061788,-178.6363121
11:44.0,-3.848438364,-2.892057084,-178.6781756
11:44.2,-3.847779788,-2.891535768,-178.6798692
11:44.3,-3.850787577,-2.893353137,-178.6748301
11:44.4,-3.848798533,-2.895776889,-178.6555859
11:44.6,-3.845673424,-2.896512295,-178.6879676
11:44.8,-3.850494454,-2.8962102,-178.6553112
11:44.8,-3.854809225,-2.898061957,-178.6719134
11:45.0,-3.854645653,-2.899668533,-178.6666873
11:45.1,-3.852715456,-2.900347233,-178.6422258
11:45.4,-3.850089437,-2.90313006,-178.6996182
11:45.5,-3.851532092,-2.904966475,-178.7033
11:45.6,-3.853677905,-2.903542283,-178.7023054
11:45.7,-3.857940769,-2.8985123,-178.6846513
11:45.9,-3.86582594,-2.902117852,-178.6548508
11:46.0,-3.8626915,-2.902206588,-178.7027328
11:46.1,-3.867651559,-2.902091575,-178.7224204
11:46.3,-3.870013618,-2.903493361,-178.751955
11:46.4,-3.871430571,-2.905388056,-178.7362481
11:46.5,-3.872283617,-2.903991649,-178.7351946
11:46.6,-3.868725861,-2.902848963,-178.7092557
11:46.7,-3.865150535,-2.899839214,-178.7111093
11:46.8,-3.865305682,-2.898130552,-178.6820879
11:47.0,-3.864876256,-2.89782528,-178.6539324
11:47.1,-3.867700439,-2.903588844,-178.6445671
11:47.3,-3.865554782,-2.904676886,-178.625443
11:47.4,-3.866431316,-2.903659197,-178.6426224
11:47.5,-3.867243042,-2.904931324,-178.6040272
11:47.6,-3.867621447,-2.905274083,-178.6299954
11:47.7,-3.870059854,-2.904076778,-178.645237
11:47.8,-3.869317175,-2.905529568,-178.618212
11:47.9,-3.870565283,-2.901256676,-178.5671354
11:48.1,-3.872745633,-2.89926944,-178.5771445
11:48.2,-3.868842832,-2.896278803,-178.5994133
11:48.3,-3.87339519,-2.897714918,-178.5985537
11:48.5,-3.855827028,-2.890444748,-178.6062499
11:48.6,-3.855830475,-2.892992489,-178.6075357
11:48.7,-3.867171354,-2.898888978,-178.6072922
11:48.8,-3.885238249,-2.900518553,-178.608313
11:49.0,-3.876750559,-2.894953271,-178.6276054
11:49.2,-3.869457897,-2.890056906,-178.6447111
11:49.3,-3.88285443,-2.893596127,-178.676668
11:49.4,-3.869688056,-2.892354175,-178.6568849
11:49.5,-3.876064876,-2.89152083,-178.6405366
11:49.6,-3.875026923,-2.893546416,-178.6504653
11:49.8,-3.886352859,-2.897118537,-178.6098381
11:49.9,-3.886159429,-2.897824611,-178.628666
11:50.0,-3.876651819,-2.896891286,-178.6387268
11:50.1,-3.870779933,-2.899352279,-178.6572921
11:50.3,-3.873403003,-2.894143212,-178.6776862
11:50.4,-3.878521606,-2.892046303,-178.7434554
11:50.5,-3.87826437,-2.892444334,-178.7608514
11:50.6,-3.874998712,-2.892016038,-178.7487628
11:50.8,-3.876761465,-2.891428939,-178.7566842
11:50.8,-3.876927652,-2.890852608,-178.7934116
11:51.1,-3.872065344,-2.889520332,-178.7182731
11:51.3,-3.866412488,-2.88818259,-178.7147357
11:51.4,-3.871486922,-2.886407899,-178.6714477
11:51.5,-3.873585321,-2.885068282,-178.7118424
11:51.6,-3.871019363,-2.884577508,-178.7072148
11:51.7,-3.863393507,-2.882323069,-178.71306
11:51.9,-3.832141917,-2.871404816,-178.7213917
11:52.0,-4.012881202,-2.908834587,-178.7152147
11:52.1,-3.990722974,-2.907184347,-178.7216398
11:52.3,-4.008712953,-2.89566936,-178.7180644
11:52.4,-3.96324175,-2.918397267,-178.7192996
11:52.5,-4.005288999,-2.911816097,-178.7174479
11:52.6,-4.067869079,-2.926013805,-178.7186012
11:52.9,-4.006092297,-2.888645113,-178.719063
11:53.0,-3.965540778,-2.872939415,-178.7476462
11:53.1,-3.988674647,-2.878052289,-178.7709473
11:53.2,-3.979001745,-2.878427915,-178.7268266
11:53.4,-3.964352201,-2.875326131,-178.7204126
11:53.5,-3.942613867,-2.872641618,-178.7554226
11:53.6,-3.926246799,-2.879991114,-178.7717899
11:53.8,-3.903673013,-2.878251098,-178.7670794
