TimeStamp,Roll,Pitch,Yaw,AccX,AccY,velX,velY,DistX,DistY
57:58.0,3.194461798,-1.57105039,91.21387781,-0.015010443,-0.036812998,-0.000227886,-3.40294E-05,0.000137812,-0.000319399
57:58.1,3.184568498,-1.580770115,91.18687963,0.014455204,0.010241737,-0.000978408,-0.001874679,0.000126418,-0.000321101
57:58.3,3.190178139,-1.586668364,91.14908199,-0.006149179,0.004089603,-0.000255648,-0.001362592,7.74973E-05,-0.000414835
57:58.3,3.183146053,-1.581908755,91.12873924,0.012946781,-0.008918026,-0.000563107,-0.001158112,6.47149E-05,-0.000482964
57:58.5,3.174306107,-1.587639404,91.09908067,0.010723753,0.006483631,8.42323E-05,-0.001604014,3.65596E-05,-0.00054087
57:58.6,3.15420987,-1.601532453,91.12321984,0.029597384,0.016739842,0.00062042,-0.001279832,4.07712E-05,-0.00062107
57:58.7,3.158634031,-1.588112838,91.08704728,-0.006124649,-0.022440867,0.002100289,-0.00044284,7.17922E-05,-0.000685062
57:58.8,3.158634031,-1.588112838,91.08704728,-0.020058635,-0.005731662,0.001794057,-0.001564883,0.000176807,-0.000707204
57:58.9,3.167305959,-1.583289042,91.06494977,-0.008260697,-0.009847651,0.000791125,-0.001851466,0.000266509,-0.000785448
57:59.0,3.166514143,-1.578224293,91.05637817,0.003524244,-0.007577912,0.00037809,-0.002343849,0.000306066,-0.000878022
57:59.1,3.161412095,-1.58250483,91.06494557,0.011860615,0.006319069,0.000554302,-0.002722745,0.00032497,-0.000995214
57:59.2,3.166411536,-1.572966884,91.09046827,-0.009405396,-0.016585589,0.001147333,-0.002406791,0.000352685,-0.001131351
57:59.3,3.176882741,-1.571407165,91.0929378,-0.01547534,-0.004877972,0.000677063,-0.003236071,0.000410052,-0.001251691
57:59.5,3.173230353,-1.56478998,91.08738145,0.010080995,-0.007359327,-9.67038E-05,-0.003479969,0.000443905,-0.001413494
57:59.5,3.192565852,-1.562080842,91.1486109,-0.024164928,-0.002116764,0.000407346,-0.003847936,0.00043907,-0.001587493
57:59.7,3.213709996,-1.574795669,91.11287294,-0.018255303,0.01371166,-0.0008009,-0.003953774,0.000459437,-0.00177989
57:59.7,3.234530344,-1.551357158,91.11069812,-0.014258114,-0.032461389,-0.001713666,-0.003268191,0.000419392,-0.001977578
57:59.9,3.192544761,-1.512384468,91.13558742,0.063404818,-0.056316385,-0.002426571,-0.00489126,0.000333709,-0.002140988
58:00.0,3.202417826,-1.558395367,91.08592227,-0.018318898,0.065913616,0.00074367,-0.007707079,0.00021238,-0.002385551
58:00.1,3.169416627,-1.533882644,91.04171464,0.045232789,-0.035394599,-0.000172275,-0.004411399,0.000249564,-0.002770905
58:00.2,3.117236964,-1.529622248,91.09411785,0.075183575,-0.00985315,0.002089364,-0.006181129,0.00024095,-0.002991475
