TimeStamp,xVel1,yVel1,xVel2,yVel2
22:05.0,-0.0066282,0.014349813,0.005728341,-0.001747974
22:05.1,-0.006682645,0.014544726,0.005306964,-0.001925135
22:05.4,-0.006601784,0.014854159,0.005120126,-0.001749214
22:05.4,-0.007046843,0.015016977,0.005097835,-0.001894877
22:05.5,-0.006951463,0.015031818,0.005179161,-0.001997657
22:05.6,-0.007455403,0.015284826,0.005442201,-0.00202611
22:05.7,-0.007606059,0.015549409,0.005228747,-0.001950688
22:05.8,-0.007521949,0.015492442,0.005575198,-0.001757895
22:05.9,-0.007450167,0.015535204,0.00574127,-0.001884658
22:06.1,-0.007890235,0.015578301,0.00593685,-0.00184092
22:06.2,-0.008046324,0.015957351,0.005901414,-0.00169019
22:06.4,-0.008158793,0.016250136,0.006156411,-0.001491046
22:06.5,-0.008264473,0.016393042,0.005844491,-0.001895105
22:06.7,-0.00846894,0.016541951,0.005520997,-0.001712779
22:06.7,-0.008588231,0.016410144,0.005628107,-0.001676286
22:07.4,-0.008331004,0.016485831,0.005951174,-0.001862456
22:07.6,-0.008390939,0.016279229,0.006104119,-0.001900003
22:07.7,-0.007888484,0.016680835,0.006091968,-0.001716692
22:07.9,-0.007427454,0.017253719,0.006084282,-0.001775759
22:08.1,-0.007621647,0.017486761,0.006020701,-0.00177146
22:08.3,-0.008340048,0.017652197,0.006224589,-0.001810365
22:08.3,-0.008124566,0.017669752,0.006043405,-0.001771565
22:08.4,-0.007677472,0.018139905,0.006264799,-0.001892903
22:08.6,-0.00798034,0.018041914,0.006348599,-0.001967212
22:08.6,-0.008038271,0.018378192,0.006581539,-0.002179971
22:08.8,-0.007561816,0.01841341,0.006931187,-0.002034641
22:08.9,-0.007879978,0.018611693,0.007367049,-0.002262425
22:09.0,-0.007848804,0.018797729,0.006879184,-0.001820938
22:09.1,-0.008178808,0.018728666,0.007118412,-0.002084357
22:09.2,-0.008043433,0.018596082,0.007210209,-0.001849819
22:09.4,-0.008279283,0.018703862,0.007286154,-0.0021669
22:09.5,-0.00823144,0.019042,0.007171331,-0.00208277
22:09.5,-0.008670422,0.01937286,0.007276112,-0.001873557
22:09.6,-0.008452404,0.019132598,0.007224579,-0.001967475
22:09.7,-0.008661925,0.019202624,0.006755075,-0.001971254
22:09.9,-0.008817433,0.019068353,0.006602244,-0.00226143
22:10.0,-0.00899011,0.018914334,0.008309754,-0.002119488
22:10.2,-0.009005424,0.01908599,0.007690075,-0.001474629
22:10.3,-0.009050251,0.019577283,0.007948711,-0.001445766
22:10.3,-0.0092184,0.019613677,0.007738294,-0.001682209
22:10.5,-0.009757612,0.019758978,0.008533454,-0.001546426
22:10.7,-0.010122738,0.019816617,0.007824521,-0.001931032
22:10.7,-0.010126941,0.019935487,0.008492957,-0.001613972
22:10.9,-0.010191088,0.019943867,0.009256802,-0.001240803
22:11.0,-0.01016312,0.020056102,0.009402563,-0.0012457
22:11.1,-0.010362927,0.020270128,0.009311455,-0.001133002
22:11.3,-0.010346796,0.020266186,0.009341824,-0.001305536
22:11.4,-0.009856833,0.020603005,0.00932032,-0.001331988
22:11.5,-0.010044022,0.020730362,0.009273331,-0.001378482
22:11.6,-0.009920794,0.020699664,0.009694341,-0.001303957
22:11.7,-0.009842205,0.02100807,0.009638073,-0.001755967
22:11.8,-0.009532319,0.021292542,0.009777148,-0.001731193
22:12.0,-0.009395165,0.021516798,0.010173573,-0.001854931
22:12.1,-0.009668959,0.021388569,0.010154623,-0.001649528
22:12.3,-0.009770417,0.021209323,0.01039343,-0.001837475
22:12.3,-0.009666446,0.021162968,0.010517437,-0.001783603
22:12.4,-0.009768603,0.021080344,0.01085721,-0.001675277
22:12.5,-0.00970863,0.021364661,0.010699879,-0.001712724
22:12.6,-0.009699067,0.021223946,0.010497548,-0.001829913
22:12.7,-0.009792196,0.02138421,0.010680579,-0.001682173
22:12.8,-0.009812518,0.021370478,0.010497881,-0.001367525
22:12.9,-0.009735706,0.021432313,0.011011543,-0.001240407
22:13.1,-0.009827637,0.021727403,0.010903147,-0.001181505
22:13.3,-0.010057046,0.021816264,0.011085111,-0.001060666
22:13.3,-0.009827597,0.021985162,0.011204605,-0.001182297
22:13.4,-0.010171205,0.021991938,0.010941868,-0.001224212
22:13.6,-0.010351763,0.021840964,0.011255234,-0.001299935
22:13.7,-0.010083792,0.022401297,0.011653584,-0.001112984
22:13.8,-0.010280332,0.022941421,0.011729254,-0.001395649
22:13.8,-0.010115615,0.02276125,0.011871172,-0.00166885
22:13.9,-0.010194805,0.022815684,0.012194953,-0.001561374
22:14.0,-0.009871701,0.022845739,0.011971034,-0.001313362
22:14.1,-0.009750512,0.023142347,0.012016552,-0.001648947
22:14.2,-0.009724194,0.0231675,0.012509646,-0.001716076
22:14.5,-0.009814223,0.023385063,0.012541944,-0.001537332
22:14.5,-0.010151503,0.023454859,0.012334363,-0.00154853
